"","Taxon","Family","Order","Importer","Exporter","Year","mass","Clean_code","IUCNName"
"90","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2005,0,"NE","Aloe arborescens"
"91","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2006,0,"NE","Aloe arborescens"
"92","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2007,0,"NE","Aloe arborescens"
"93","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2008,0,"NE","Aloe arborescens"
"94","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2009,0,"NE","Aloe arborescens"
"95","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2010,0,"NE","Aloe arborescens"
"96","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2011,0,"NE","Aloe arborescens"
"97","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2012,0,"NE","Aloe arborescens"
"98","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2013,5,"NE","Aloe arborescens"
"99","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2014,0,"NE","Aloe arborescens"
"100","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2015,0,"NE","Aloe arborescens"
"101","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2016,0,"NE","Aloe arborescens"
"102","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2017,0,"NE","Aloe arborescens"
"103","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2018,0,"NE","Aloe arborescens"
"104","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2019,0,"LC","Aloe arborescens"
"105","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2020,0,"LC","Aloe arborescens"
"106","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2000,0,"NE","Aloe arborescens"
"107","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2001,0,"NE","Aloe arborescens"
"108","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2002,0,"NE","Aloe arborescens"
"109","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2003,0,"NE","Aloe arborescens"
"110","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2004,0,"NE","Aloe arborescens"
"111","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2005,0,"NE","Aloe arborescens"
"112","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2006,0,"NE","Aloe arborescens"
"113","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2007,0,"NE","Aloe arborescens"
"114","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2008,0,"NE","Aloe arborescens"
"115","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2009,0,"NE","Aloe arborescens"
"116","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2010,0,"NE","Aloe arborescens"
"117","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2011,1500,"NE","Aloe arborescens"
"118","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2012,0,"NE","Aloe arborescens"
"119","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2013,0,"NE","Aloe arborescens"
"120","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2014,0,"NE","Aloe arborescens"
"121","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2015,1000,"NE","Aloe arborescens"
"122","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2016,27580,"NE","Aloe arborescens"
"123","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2017,0,"NE","Aloe arborescens"
"124","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2018,13600,"NE","Aloe arborescens"
"125","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2019,0,"LC","Aloe arborescens"
"126","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2020,7000,"LC","Aloe arborescens"
"127","Aloe arborescens","Liliaceae","Liliales","US","JP",2000,0,"NE","Aloe arborescens"
"128","Aloe arborescens","Liliaceae","Liliales","US","JP",2001,0,"NE","Aloe arborescens"
"129","Aloe arborescens","Liliaceae","Liliales","US","JP",2002,0,"NE","Aloe arborescens"
"130","Aloe arborescens","Liliaceae","Liliales","US","JP",2003,0,"NE","Aloe arborescens"
"131","Aloe arborescens","Liliaceae","Liliales","US","JP",2004,0,"NE","Aloe arborescens"
"132","Aloe arborescens","Liliaceae","Liliales","US","JP",2005,0,"NE","Aloe arborescens"
"133","Aloe arborescens","Liliaceae","Liliales","US","JP",2006,0,"NE","Aloe arborescens"
"134","Aloe arborescens","Liliaceae","Liliales","US","JP",2007,0,"NE","Aloe arborescens"
"135","Aloe arborescens","Liliaceae","Liliales","US","JP",2008,0,"NE","Aloe arborescens"
"136","Aloe arborescens","Liliaceae","Liliales","US","JP",2009,0,"NE","Aloe arborescens"
"137","Aloe arborescens","Liliaceae","Liliales","US","JP",2010,0,"NE","Aloe arborescens"
"138","Aloe arborescens","Liliaceae","Liliales","US","JP",2011,0,"NE","Aloe arborescens"
"139","Aloe arborescens","Liliaceae","Liliales","US","JP",2012,0,"NE","Aloe arborescens"
"140","Aloe arborescens","Liliaceae","Liliales","US","JP",2013,0,"NE","Aloe arborescens"
"141","Aloe arborescens","Liliaceae","Liliales","US","JP",2014,0,"NE","Aloe arborescens"
"142","Aloe arborescens","Liliaceae","Liliales","US","JP",2015,0,"NE","Aloe arborescens"
"143","Aloe arborescens","Liliaceae","Liliales","US","JP",2016,0,"NE","Aloe arborescens"
"144","Aloe arborescens","Liliaceae","Liliales","US","JP",2017,0.002,"NE","Aloe arborescens"
"145","Aloe arborescens","Liliaceae","Liliales","US","JP",2018,0,"NE","Aloe arborescens"
"146","Aloe arborescens","Liliaceae","Liliales","US","JP",2019,0,"LC","Aloe arborescens"
"147","Aloe arborescens","Liliaceae","Liliales","US","JP",2020,0,"LC","Aloe arborescens"
"148","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2000,40000,"NE","Aloe ellenbeckii"
"149","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2001,66875,"NE","Aloe ellenbeckii"
"150","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2002,0,"NE","Aloe ellenbeckii"
"151","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2003,0,"NE","Aloe ellenbeckii"
"152","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2004,0,"NE","Aloe ellenbeckii"
"153","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2005,0,"NE","Aloe ellenbeckii"
"154","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2006,0,"NE","Aloe ellenbeckii"
"155","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2007,0,"NE","Aloe ellenbeckii"
"156","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2008,0,"NE","Aloe ellenbeckii"
"157","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2009,0,"NE","Aloe ellenbeckii"
"158","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2010,0,"NE","Aloe ellenbeckii"
"159","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2011,0,"NE","Aloe ellenbeckii"
"160","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2012,0,"NE","Aloe ellenbeckii"
"161","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2013,0,"LC","Aloe ellenbeckii"
"162","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2014,0,"LC","Aloe ellenbeckii"
"163","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2015,0,"LC","Aloe ellenbeckii"
"164","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2016,0,"LC","Aloe ellenbeckii"
"165","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2017,0,"LC","Aloe ellenbeckii"
"166","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2018,0,"LC","Aloe ellenbeckii"
"167","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2019,0,"LC","Aloe ellenbeckii"
"168","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2020,0,"LC","Aloe ellenbeckii"
"169","Aloe ferox","Liliaceae","Liliales","AR","ZA",2000,0,"NE","Aloe ferox"
"170","Aloe ferox","Liliaceae","Liliales","AR","ZA",2001,0,"NE","Aloe ferox"
"171","Aloe ferox","Liliaceae","Liliales","AR","ZA",2002,0,"NE","Aloe ferox"
"172","Aloe ferox","Liliaceae","Liliales","AR","ZA",2003,0,"NE","Aloe ferox"
"173","Aloe ferox","Liliaceae","Liliales","AR","ZA",2004,0,"NE","Aloe ferox"
"174","Aloe ferox","Liliaceae","Liliales","AR","ZA",2005,0,"NE","Aloe ferox"
"175","Aloe ferox","Liliaceae","Liliales","AR","ZA",2006,0,"NE","Aloe ferox"
"176","Aloe ferox","Liliaceae","Liliales","AR","ZA",2007,0,"NE","Aloe ferox"
"177","Aloe ferox","Liliaceae","Liliales","AR","ZA",2008,0,"NE","Aloe ferox"
"178","Aloe ferox","Liliaceae","Liliales","AR","ZA",2009,0,"NE","Aloe ferox"
"179","Aloe ferox","Liliaceae","Liliales","AR","ZA",2010,0,"NE","Aloe ferox"
"180","Aloe ferox","Liliaceae","Liliales","AR","ZA",2011,0,"NE","Aloe ferox"
"181","Aloe ferox","Liliaceae","Liliales","AR","ZA",2012,160000,"NE","Aloe ferox"
"182","Aloe ferox","Liliaceae","Liliales","AR","ZA",2013,3e+05,"NE","Aloe ferox"
"183","Aloe ferox","Liliaceae","Liliales","AR","ZA",2014,0,"NE","Aloe ferox"
"184","Aloe ferox","Liliaceae","Liliales","AR","ZA",2015,280000,"NE","Aloe ferox"
"185","Aloe ferox","Liliaceae","Liliales","AR","ZA",2016,160000,"NE","Aloe ferox"
"186","Aloe ferox","Liliaceae","Liliales","AR","ZA",2017,120000,"NE","Aloe ferox"
"187","Aloe ferox","Liliaceae","Liliales","AR","ZA",2018,0,"NE","Aloe ferox"
"188","Aloe ferox","Liliaceae","Liliales","AR","ZA",2019,0,"NE","Aloe ferox"
"189","Aloe ferox","Liliaceae","Liliales","AR","ZA",2020,113440,"NE","Aloe ferox"
"190","Aloe ferox","Liliaceae","Liliales","AT","ZA",2000,0,"NE","Aloe ferox"
"191","Aloe ferox","Liliaceae","Liliales","AT","ZA",2001,0,"NE","Aloe ferox"
"192","Aloe ferox","Liliaceae","Liliales","AT","ZA",2002,0,"NE","Aloe ferox"
"193","Aloe ferox","Liliaceae","Liliales","AT","ZA",2003,0,"NE","Aloe ferox"
"194","Aloe ferox","Liliaceae","Liliales","AT","ZA",2004,0,"NE","Aloe ferox"
"195","Aloe ferox","Liliaceae","Liliales","AT","ZA",2005,0,"NE","Aloe ferox"
"196","Aloe ferox","Liliaceae","Liliales","AT","ZA",2006,0,"NE","Aloe ferox"
"197","Aloe ferox","Liliaceae","Liliales","AT","ZA",2007,0,"NE","Aloe ferox"
"198","Aloe ferox","Liliaceae","Liliales","AT","ZA",2008,0,"NE","Aloe ferox"
"199","Aloe ferox","Liliaceae","Liliales","AT","ZA",2009,0,"NE","Aloe ferox"
"200","Aloe ferox","Liliaceae","Liliales","AT","ZA",2010,0,"NE","Aloe ferox"
"201","Aloe ferox","Liliaceae","Liliales","AT","ZA",2011,0,"NE","Aloe ferox"
"202","Aloe ferox","Liliaceae","Liliales","AT","ZA",2012,40,"NE","Aloe ferox"
"203","Aloe ferox","Liliaceae","Liliales","AT","ZA",2013,0,"NE","Aloe ferox"
"204","Aloe ferox","Liliaceae","Liliales","AT","ZA",2014,183.65,"NE","Aloe ferox"
"205","Aloe ferox","Liliaceae","Liliales","AT","ZA",2015,243.2,"NE","Aloe ferox"
"206","Aloe ferox","Liliaceae","Liliales","AT","ZA",2016,10,"NE","Aloe ferox"
"207","Aloe ferox","Liliaceae","Liliales","AT","ZA",2017,75,"NE","Aloe ferox"
"208","Aloe ferox","Liliaceae","Liliales","AT","ZA",2018,320,"NE","Aloe ferox"
"209","Aloe ferox","Liliaceae","Liliales","AT","ZA",2019,0,"NE","Aloe ferox"
"210","Aloe ferox","Liliaceae","Liliales","AT","ZA",2020,0,"NE","Aloe ferox"
"211","Aloe ferox","Liliaceae","Liliales","AU","ZA",2000,0,"NE","Aloe ferox"
"212","Aloe ferox","Liliaceae","Liliales","AU","ZA",2001,0,"NE","Aloe ferox"
"213","Aloe ferox","Liliaceae","Liliales","AU","ZA",2002,0,"NE","Aloe ferox"
"214","Aloe ferox","Liliaceae","Liliales","AU","ZA",2003,0,"NE","Aloe ferox"
"215","Aloe ferox","Liliaceae","Liliales","AU","ZA",2004,0,"NE","Aloe ferox"
"216","Aloe ferox","Liliaceae","Liliales","AU","ZA",2005,0,"NE","Aloe ferox"
"217","Aloe ferox","Liliaceae","Liliales","AU","ZA",2006,0,"NE","Aloe ferox"
"218","Aloe ferox","Liliaceae","Liliales","AU","ZA",2007,0,"NE","Aloe ferox"
"219","Aloe ferox","Liliaceae","Liliales","AU","ZA",2008,0,"NE","Aloe ferox"
"220","Aloe ferox","Liliaceae","Liliales","AU","ZA",2009,225175,"NE","Aloe ferox"
"221","Aloe ferox","Liliaceae","Liliales","AU","ZA",2010,0,"NE","Aloe ferox"
"222","Aloe ferox","Liliaceae","Liliales","AU","ZA",2011,0,"NE","Aloe ferox"
"223","Aloe ferox","Liliaceae","Liliales","AU","ZA",2012,0,"NE","Aloe ferox"
"224","Aloe ferox","Liliaceae","Liliales","AU","ZA",2013,0,"NE","Aloe ferox"
"225","Aloe ferox","Liliaceae","Liliales","AU","ZA",2014,0,"NE","Aloe ferox"
"226","Aloe ferox","Liliaceae","Liliales","AU","ZA",2015,0,"NE","Aloe ferox"
"227","Aloe ferox","Liliaceae","Liliales","AU","ZA",2016,0,"NE","Aloe ferox"
"228","Aloe ferox","Liliaceae","Liliales","AU","ZA",2017,0,"NE","Aloe ferox"
"229","Aloe ferox","Liliaceae","Liliales","AU","ZA",2018,300,"NE","Aloe ferox"
"230","Aloe ferox","Liliaceae","Liliales","AU","ZA",2019,0,"NE","Aloe ferox"
"231","Aloe ferox","Liliaceae","Liliales","AU","ZA",2020,0,"NE","Aloe ferox"
"232","Aloe ferox","Liliaceae","Liliales","BE","ZA",2000,0,"NE","Aloe ferox"
"233","Aloe ferox","Liliaceae","Liliales","BE","ZA",2001,0,"NE","Aloe ferox"
"234","Aloe ferox","Liliaceae","Liliales","BE","ZA",2002,0,"NE","Aloe ferox"
"235","Aloe ferox","Liliaceae","Liliales","BE","ZA",2003,0,"NE","Aloe ferox"
"236","Aloe ferox","Liliaceae","Liliales","BE","ZA",2004,0,"NE","Aloe ferox"
"237","Aloe ferox","Liliaceae","Liliales","BE","ZA",2005,13,"NE","Aloe ferox"
"238","Aloe ferox","Liliaceae","Liliales","BE","ZA",2006,0,"NE","Aloe ferox"
"239","Aloe ferox","Liliaceae","Liliales","BE","ZA",2007,156,"NE","Aloe ferox"
"240","Aloe ferox","Liliaceae","Liliales","BE","ZA",2008,0,"NE","Aloe ferox"
"241","Aloe ferox","Liliaceae","Liliales","BE","ZA",2009,0,"NE","Aloe ferox"
"242","Aloe ferox","Liliaceae","Liliales","BE","ZA",2010,0,"NE","Aloe ferox"
"243","Aloe ferox","Liliaceae","Liliales","BE","ZA",2011,0,"NE","Aloe ferox"
"244","Aloe ferox","Liliaceae","Liliales","BE","ZA",2012,0,"NE","Aloe ferox"
"245","Aloe ferox","Liliaceae","Liliales","BE","ZA",2013,0,"NE","Aloe ferox"
"246","Aloe ferox","Liliaceae","Liliales","BE","ZA",2014,0,"NE","Aloe ferox"
"247","Aloe ferox","Liliaceae","Liliales","BE","ZA",2015,0,"NE","Aloe ferox"
"248","Aloe ferox","Liliaceae","Liliales","BE","ZA",2016,0,"NE","Aloe ferox"
"249","Aloe ferox","Liliaceae","Liliales","BE","ZA",2017,0,"NE","Aloe ferox"
"250","Aloe ferox","Liliaceae","Liliales","BE","ZA",2018,0,"NE","Aloe ferox"
"251","Aloe ferox","Liliaceae","Liliales","BE","ZA",2019,0,"NE","Aloe ferox"
"252","Aloe ferox","Liliaceae","Liliales","BE","ZA",2020,0,"NE","Aloe ferox"
"253","Aloe ferox","Liliaceae","Liliales","CA","ZA",2000,0,"NE","Aloe ferox"
"254","Aloe ferox","Liliaceae","Liliales","CA","ZA",2001,0,"NE","Aloe ferox"
"255","Aloe ferox","Liliaceae","Liliales","CA","ZA",2002,0,"NE","Aloe ferox"
"256","Aloe ferox","Liliaceae","Liliales","CA","ZA",2003,0,"NE","Aloe ferox"
"257","Aloe ferox","Liliaceae","Liliales","CA","ZA",2004,0,"NE","Aloe ferox"
"258","Aloe ferox","Liliaceae","Liliales","CA","ZA",2005,0,"NE","Aloe ferox"
"259","Aloe ferox","Liliaceae","Liliales","CA","ZA",2006,0,"NE","Aloe ferox"
"260","Aloe ferox","Liliaceae","Liliales","CA","ZA",2007,0,"NE","Aloe ferox"
"261","Aloe ferox","Liliaceae","Liliales","CA","ZA",2008,0,"NE","Aloe ferox"
"262","Aloe ferox","Liliaceae","Liliales","CA","ZA",2009,120,"NE","Aloe ferox"
"263","Aloe ferox","Liliaceae","Liliales","CA","ZA",2010,0,"NE","Aloe ferox"
"264","Aloe ferox","Liliaceae","Liliales","CA","ZA",2011,0,"NE","Aloe ferox"
"265","Aloe ferox","Liliaceae","Liliales","CA","ZA",2012,0,"NE","Aloe ferox"
"266","Aloe ferox","Liliaceae","Liliales","CA","ZA",2013,0,"NE","Aloe ferox"
"267","Aloe ferox","Liliaceae","Liliales","CA","ZA",2014,0,"NE","Aloe ferox"
"268","Aloe ferox","Liliaceae","Liliales","CA","ZA",2015,0,"NE","Aloe ferox"
"269","Aloe ferox","Liliaceae","Liliales","CA","ZA",2016,0,"NE","Aloe ferox"
"270","Aloe ferox","Liliaceae","Liliales","CA","ZA",2017,0,"NE","Aloe ferox"
"271","Aloe ferox","Liliaceae","Liliales","CA","ZA",2018,0,"NE","Aloe ferox"
"272","Aloe ferox","Liliaceae","Liliales","CA","ZA",2019,0,"NE","Aloe ferox"
"273","Aloe ferox","Liliaceae","Liliales","CA","ZA",2020,0,"NE","Aloe ferox"
"274","Aloe ferox","Liliaceae","Liliales","CH","ZA",2000,0,"NE","Aloe ferox"
"275","Aloe ferox","Liliaceae","Liliales","CH","ZA",2001,0,"NE","Aloe ferox"
"276","Aloe ferox","Liliaceae","Liliales","CH","ZA",2002,0,"NE","Aloe ferox"
"277","Aloe ferox","Liliaceae","Liliales","CH","ZA",2003,0,"NE","Aloe ferox"
"278","Aloe ferox","Liliaceae","Liliales","CH","ZA",2004,0,"NE","Aloe ferox"
