"","Taxon","Family","Order","Importer","Exporter","Year","mass"
"42","Adonis vernalis","Ranunculaceae","Ranunculales","PL","RO",2020,0
"43","Aloe arborescens","Liliaceae","Liliales","CN","KE",2000,0
"44","Aloe arborescens","Liliaceae","Liliales","CN","KE",2001,0
"45","Aloe arborescens","Liliaceae","Liliales","CN","KE",2002,0
"46","Aloe arborescens","Liliaceae","Liliales","CN","KE",2003,79438
"47","Aloe arborescens","Liliaceae","Liliales","CN","KE",2004,0
"48","Aloe arborescens","Liliaceae","Liliales","CN","KE",2005,0
"49","Aloe arborescens","Liliaceae","Liliales","CN","KE",2006,0
"50","Aloe arborescens","Liliaceae","Liliales","CN","KE",2007,0
"51","Aloe arborescens","Liliaceae","Liliales","CN","KE",2008,0
"52","Aloe arborescens","Liliaceae","Liliales","CN","KE",2009,0
"53","Aloe arborescens","Liliaceae","Liliales","CN","KE",2010,0
"54","Aloe arborescens","Liliaceae","Liliales","CN","KE",2011,0
"55","Aloe arborescens","Liliaceae","Liliales","CN","KE",2012,0
"56","Aloe arborescens","Liliaceae","Liliales","CN","KE",2013,0
"57","Aloe arborescens","Liliaceae","Liliales","CN","KE",2014,0
"58","Aloe arborescens","Liliaceae","Liliales","CN","KE",2015,0
"59","Aloe arborescens","Liliaceae","Liliales","CN","KE",2016,0
"60","Aloe arborescens","Liliaceae","Liliales","CN","KE",2017,0
"61","Aloe arborescens","Liliaceae","Liliales","CN","KE",2018,0
"62","Aloe arborescens","Liliaceae","Liliales","CN","KE",2019,0
"63","Aloe arborescens","Liliaceae","Liliales","CN","KE",2020,0
"64","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2000,0
"65","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2001,0
"66","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2002,0
"67","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2003,0
"68","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2004,0
"69","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2005,0
"70","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2006,0
"71","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2007,0
"72","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2008,0
"73","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2009,0
"74","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2010,0
"75","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2011,0
"76","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2012,40
"77","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2013,0
"78","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2014,0
"79","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2015,0
"80","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2016,0
"81","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2017,0
"82","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2018,0
"83","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2019,0
"84","Aloe arborescens","Liliaceae","Liliales","DE","ZA",2020,0
"85","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2000,0
"86","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2001,0
"87","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2002,0
"88","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2003,0
"89","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2004,0
"90","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2005,0
"91","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2006,0
"92","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2007,0
"93","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2008,0
"94","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2009,0
"95","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2010,0
"96","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2011,0
"97","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2012,0
"98","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2013,5
"99","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2014,0
"100","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2015,0
"101","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2016,0
"102","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2017,0
"103","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2018,0
"104","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2019,0
"105","Aloe arborescens","Liliaceae","Liliales","IT","ZA",2020,0
"106","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2000,0
"107","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2001,0
"108","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2002,0
"109","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2003,0
"110","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2004,0
"111","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2005,0
"112","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2006,0
"113","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2007,0
"114","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2008,0
"115","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2009,0
"116","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2010,0
"117","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2011,1500
"118","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2012,0
"119","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2013,0
"120","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2014,0
"121","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2015,1000
"122","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2016,27580
"123","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2017,0
"124","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2018,13600
"125","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2019,0
"126","Aloe arborescens","Liliaceae","Liliales","KR","ZA",2020,7000
"127","Aloe arborescens","Liliaceae","Liliales","US","JP",2000,0
"128","Aloe arborescens","Liliaceae","Liliales","US","JP",2001,0
"129","Aloe arborescens","Liliaceae","Liliales","US","JP",2002,0
"130","Aloe arborescens","Liliaceae","Liliales","US","JP",2003,0
"131","Aloe arborescens","Liliaceae","Liliales","US","JP",2004,0
"132","Aloe arborescens","Liliaceae","Liliales","US","JP",2005,0
"133","Aloe arborescens","Liliaceae","Liliales","US","JP",2006,0
"134","Aloe arborescens","Liliaceae","Liliales","US","JP",2007,0
"135","Aloe arborescens","Liliaceae","Liliales","US","JP",2008,0
"136","Aloe arborescens","Liliaceae","Liliales","US","JP",2009,0
"137","Aloe arborescens","Liliaceae","Liliales","US","JP",2010,0
"138","Aloe arborescens","Liliaceae","Liliales","US","JP",2011,0
"139","Aloe arborescens","Liliaceae","Liliales","US","JP",2012,0
"140","Aloe arborescens","Liliaceae","Liliales","US","JP",2013,0
"141","Aloe arborescens","Liliaceae","Liliales","US","JP",2014,0
"142","Aloe arborescens","Liliaceae","Liliales","US","JP",2015,0
"143","Aloe arborescens","Liliaceae","Liliales","US","JP",2016,0
"144","Aloe arborescens","Liliaceae","Liliales","US","JP",2017,0.002
"145","Aloe arborescens","Liliaceae","Liliales","US","JP",2018,0
"146","Aloe arborescens","Liliaceae","Liliales","US","JP",2019,0
"147","Aloe arborescens","Liliaceae","Liliales","US","JP",2020,0
"148","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2000,40000
"149","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2001,66875
"150","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2002,0
"151","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2003,0
"152","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2004,0
"153","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2005,0
"154","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2006,0
"155","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2007,0
"156","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2008,0
"157","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2009,0
"158","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2010,0
"159","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2011,0
"160","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2012,0
"161","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2013,0
"162","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2014,0
"163","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2015,0
"164","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2016,0
"165","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2017,0
"166","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2018,0
"167","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2019,0
"168","Aloe ellenbeckii","Liliaceae","Liliales","CN","KE",2020,0
"169","Aloe ferox","Liliaceae","Liliales","AR","ZA",2000,0
"170","Aloe ferox","Liliaceae","Liliales","AR","ZA",2001,0
"171","Aloe ferox","Liliaceae","Liliales","AR","ZA",2002,0
"172","Aloe ferox","Liliaceae","Liliales","AR","ZA",2003,0
"173","Aloe ferox","Liliaceae","Liliales","AR","ZA",2004,0
"174","Aloe ferox","Liliaceae","Liliales","AR","ZA",2005,0
"175","Aloe ferox","Liliaceae","Liliales","AR","ZA",2006,0
"176","Aloe ferox","Liliaceae","Liliales","AR","ZA",2007,0
"177","Aloe ferox","Liliaceae","Liliales","AR","ZA",2008,0
"178","Aloe ferox","Liliaceae","Liliales","AR","ZA",2009,0
"179","Aloe ferox","Liliaceae","Liliales","AR","ZA",2010,0
"180","Aloe ferox","Liliaceae","Liliales","AR","ZA",2011,0
"181","Aloe ferox","Liliaceae","Liliales","AR","ZA",2012,160000
"182","Aloe ferox","Liliaceae","Liliales","AR","ZA",2013,3e+05
"183","Aloe ferox","Liliaceae","Liliales","AR","ZA",2014,0
"184","Aloe ferox","Liliaceae","Liliales","AR","ZA",2015,280000
"185","Aloe ferox","Liliaceae","Liliales","AR","ZA",2016,160000
"186","Aloe ferox","Liliaceae","Liliales","AR","ZA",2017,120000
"187","Aloe ferox","Liliaceae","Liliales","AR","ZA",2018,0
"188","Aloe ferox","Liliaceae","Liliales","AR","ZA",2019,0
"189","Aloe ferox","Liliaceae","Liliales","AR","ZA",2020,113440
"190","Aloe ferox","Liliaceae","Liliales","AT","ZA",2000,0
"191","Aloe ferox","Liliaceae","Liliales","AT","ZA",2001,0
"192","Aloe ferox","Liliaceae","Liliales","AT","ZA",2002,0
"193","Aloe ferox","Liliaceae","Liliales","AT","ZA",2003,0
"194","Aloe ferox","Liliaceae","Liliales","AT","ZA",2004,0
"195","Aloe ferox","Liliaceae","Liliales","AT","ZA",2005,0
"196","Aloe ferox","Liliaceae","Liliales","AT","ZA",2006,0
"197","Aloe ferox","Liliaceae","Liliales","AT","ZA",2007,0
"198","Aloe ferox","Liliaceae","Liliales","AT","ZA",2008,0
"199","Aloe ferox","Liliaceae","Liliales","AT","ZA",2009,0
"200","Aloe ferox","Liliaceae","Liliales","AT","ZA",2010,0
"201","Aloe ferox","Liliaceae","Liliales","AT","ZA",2011,0
"202","Aloe ferox","Liliaceae","Liliales","AT","ZA",2012,40
"203","Aloe ferox","Liliaceae","Liliales","AT","ZA",2013,0
"204","Aloe ferox","Liliaceae","Liliales","AT","ZA",2014,183.65
"205","Aloe ferox","Liliaceae","Liliales","AT","ZA",2015,243.2
"206","Aloe ferox","Liliaceae","Liliales","AT","ZA",2016,10
"207","Aloe ferox","Liliaceae","Liliales","AT","ZA",2017,75
"208","Aloe ferox","Liliaceae","Liliales","AT","ZA",2018,320
"209","Aloe ferox","Liliaceae","Liliales","AT","ZA",2019,0
"210","Aloe ferox","Liliaceae","Liliales","AT","ZA",2020,0
"211","Aloe ferox","Liliaceae","Liliales","AU","ZA",2000,0
"212","Aloe ferox","Liliaceae","Liliales","AU","ZA",2001,0
"213","Aloe ferox","Liliaceae","Liliales","AU","ZA",2002,0
"214","Aloe ferox","Liliaceae","Liliales","AU","ZA",2003,0
"215","Aloe ferox","Liliaceae","Liliales","AU","ZA",2004,0
"216","Aloe ferox","Liliaceae","Liliales","AU","ZA",2005,0
"217","Aloe ferox","Liliaceae","Liliales","AU","ZA",2006,0
"218","Aloe ferox","Liliaceae","Liliales","AU","ZA",2007,0
"219","Aloe ferox","Liliaceae","Liliales","AU","ZA",2008,0
"220","Aloe ferox","Liliaceae","Liliales","AU","ZA",2009,225175
"221","Aloe ferox","Liliaceae","Liliales","AU","ZA",2010,0
"222","Aloe ferox","Liliaceae","Liliales","AU","ZA",2011,0
"223","Aloe ferox","Liliaceae","Liliales","AU","ZA",2012,0
"224","Aloe ferox","Liliaceae","Liliales","AU","ZA",2013,0
"225","Aloe ferox","Liliaceae","Liliales","AU","ZA",2014,0
"226","Aloe ferox","Liliaceae","Liliales","AU","ZA",2015,0
"227","Aloe ferox","Liliaceae","Liliales","AU","ZA",2016,0
"228","Aloe ferox","Liliaceae","Liliales","AU","ZA",2017,0
"229","Aloe ferox","Liliaceae","Liliales","AU","ZA",2018,300
"230","Aloe ferox","Liliaceae","Liliales","AU","ZA",2019,0
"231","Aloe ferox","Liliaceae","Liliales","AU","ZA",2020,0
"232","Aloe ferox","Liliaceae","Liliales","BE","ZA",2000,0
"233","Aloe ferox","Liliaceae","Liliales","BE","ZA",2001,0
"234","Aloe ferox","Liliaceae","Liliales","BE","ZA",2002,0
"235","Aloe ferox","Liliaceae","Liliales","BE","ZA",2003,0
"236","Aloe ferox","Liliaceae","Liliales","BE","ZA",2004,0
"237","Aloe ferox","Liliaceae","Liliales","BE","ZA",2005,13
"238","Aloe ferox","Liliaceae","Liliales","BE","ZA",2006,0
"239","Aloe ferox","Liliaceae","Liliales","BE","ZA",2007,156
"240","Aloe ferox","Liliaceae","Liliales","BE","ZA",2008,0
"241","Aloe ferox","Liliaceae","Liliales","BE","ZA",2009,0
"242","Aloe ferox","Liliaceae","Liliales","BE","ZA",2010,0
"243","Aloe ferox","Liliaceae","Liliales","BE","ZA",2011,0
"244","Aloe ferox","Liliaceae","Liliales","BE","ZA",2012,0
"245","Aloe ferox","Liliaceae","Liliales","BE","ZA",2013,0
"246","Aloe ferox","Liliaceae","Liliales","BE","ZA",2014,0
"247","Aloe ferox","Liliaceae","Liliales","BE","ZA",2015,0
"248","Aloe ferox","Liliaceae","Liliales","BE","ZA",2016,0
"249","Aloe ferox","Liliaceae","Liliales","BE","ZA",2017,0
"250","Aloe ferox","Liliaceae","Liliales","BE","ZA",2018,0
"251","Aloe ferox","Liliaceae","Liliales","BE","ZA",2019,0
"252","Aloe ferox","Liliaceae","Liliales","BE","ZA",2020,0
"253","Aloe ferox","Liliaceae","Liliales","CA","ZA",2000,0
"254","Aloe ferox","Liliaceae","Liliales","CA","ZA",2001,0
"255","Aloe ferox","Liliaceae","Liliales","CA","ZA",2002,0
"256","Aloe ferox","Liliaceae","Liliales","CA","ZA",2003,0
"257","Aloe ferox","Liliaceae","Liliales","CA","ZA",2004,0
"258","Aloe ferox","Liliaceae","Liliales","CA","ZA",2005,0
"259","Aloe ferox","Liliaceae","Liliales","CA","ZA",2006,0
"260","Aloe ferox","Liliaceae","Liliales","CA","ZA",2007,0
"261","Aloe ferox","Liliaceae","Liliales","CA","ZA",2008,0
"262","Aloe ferox","Liliaceae","Liliales","CA","ZA",2009,120
"263","Aloe ferox","Liliaceae","Liliales","CA","ZA",2010,0
"264","Aloe ferox","Liliaceae","Liliales","CA","ZA",2011,0
"265","Aloe ferox","Liliaceae","Liliales","CA","ZA",2012,0
"266","Aloe ferox","Liliaceae","Liliales","CA","ZA",2013,0
"267","Aloe ferox","Liliaceae","Liliales","CA","ZA",2014,0
"268","Aloe ferox","Liliaceae","Liliales","CA","ZA",2015,0
"269","Aloe ferox","Liliaceae","Liliales","CA","ZA",2016,0
"270","Aloe ferox","Liliaceae","Liliales","CA","ZA",2017,0
"271","Aloe ferox","Liliaceae","Liliales","CA","ZA",2018,0
"272","Aloe ferox","Liliaceae","Liliales","CA","ZA",2019,0
"273","Aloe ferox","Liliaceae","Liliales","CA","ZA",2020,0
"274","Aloe ferox","Liliaceae","Liliales","CH","ZA",2000,0
"275","Aloe ferox","Liliaceae","Liliales","CH","ZA",2001,0
"276","Aloe ferox","Liliaceae","Liliales","CH","ZA",2002,0
"277","Aloe ferox","Liliaceae","Liliales","CH","ZA",2003,0
"278","Aloe ferox","Liliaceae","Liliales","CH","ZA",2004,0
"279","Aloe ferox","Liliaceae","Liliales","CH","ZA",2005,0
"280","Aloe ferox","Liliaceae","Liliales","CH","ZA",2006,0
"281","Aloe ferox","Liliaceae","Liliales","CH","ZA",2007,0
"282","Aloe ferox","Liliaceae","Liliales","CH","ZA",2008,0
"283","Aloe ferox","Liliaceae","Liliales","CH","ZA",2009,0
"284","Aloe ferox","Liliaceae","Liliales","CH","ZA",2010,0
"285","Aloe ferox","Liliaceae","Liliales","CH","ZA",2011,0
"286","Aloe ferox","Liliaceae","Liliales","CH","ZA",2012,35.89
"287","Aloe ferox","Liliaceae","Liliales","CH","ZA",2013,42.696
"288","Aloe ferox","Liliaceae","Liliales","CH","ZA",2014,62
"289","Aloe ferox","Liliaceae","Liliales","CH","ZA",2015,780
"290","Aloe ferox","Liliaceae","Liliales","CH","ZA",2016,4.526
"291","Aloe ferox","Liliaceae","Liliales","CH","ZA",2017,0
"292","Aloe ferox","Liliaceae","Liliales","CH","ZA",2018,0
"293","Aloe ferox","Liliaceae","Liliales","CH","ZA",2019,0
"294","Aloe ferox","Liliaceae","Liliales","CH","ZA",2020,0
"295","Aloe ferox","Liliaceae","Liliales","CL","ZA",2000,0
"296","Aloe ferox","Liliaceae","Liliales","CL","ZA",2001,0
"297","Aloe ferox","Liliaceae","Liliales","CL","ZA",2002,0
"298","Aloe ferox","Liliaceae","Liliales","CL","ZA",2003,0
"299","Aloe ferox","Liliaceae","Liliales","CL","ZA",2004,0
"300","Aloe ferox","Liliaceae","Liliales","CL","ZA",2005,0
"301","Aloe ferox","Liliaceae","Liliales","CL","ZA",2006,0
"302","Aloe ferox","Liliaceae","Liliales","CL","ZA",2007,0
"303","Aloe ferox","Liliaceae","Liliales","CL","ZA",2008,0
"304","Aloe ferox","Liliaceae","Liliales","CL","ZA",2009,0
"305","Aloe ferox","Liliaceae","Liliales","CL","ZA",2010,0
"306","Aloe ferox","Liliaceae","Liliales","CL","ZA",2011,0
"307","Aloe ferox","Liliaceae","Liliales","CL","ZA",2012,0
"308","Aloe ferox","Liliaceae","Liliales","CL","ZA",2013,5
"309","Aloe ferox","Liliaceae","Liliales","CL","ZA",2014,0
"310","Aloe ferox","Liliaceae","Liliales","CL","ZA",2015,0
"311","Aloe ferox","Liliaceae","Liliales","CL","ZA",2016,0
"312","Aloe ferox","Liliaceae","Liliales","CL","ZA",2017,0
"313","Aloe ferox","Liliaceae","Liliales","CL","ZA",2018,0
"314","Aloe ferox","Liliaceae","Liliales","CL","ZA",2019,0
"315","Aloe ferox","Liliaceae","Liliales","CL","ZA",2020,0
"316","Aloe ferox","Liliaceae","Liliales","CN","ZA",2000,0
"317","Aloe ferox","Liliaceae","Liliales","CN","ZA",2001,0
"318","Aloe ferox","Liliaceae","Liliales","CN","ZA",2002,0
"319","Aloe ferox","Liliaceae","Liliales","CN","ZA",2003,0
"320","Aloe ferox","Liliaceae","Liliales","CN","ZA",2004,0
"321","Aloe ferox","Liliaceae","Liliales","CN","ZA",2005,0
"322","Aloe ferox","Liliaceae","Liliales","CN","ZA",2006,0
"323","Aloe ferox","Liliaceae","Liliales","CN","ZA",2007,0
"324","Aloe ferox","Liliaceae","Liliales","CN","ZA",2008,0
"325","Aloe ferox","Liliaceae","Liliales","CN","ZA",2009,0
"326","Aloe ferox","Liliaceae","Liliales","CN","ZA",2010,0
"327","Aloe ferox","Liliaceae","Liliales","CN","ZA",2011,0
"328","Aloe ferox","Liliaceae","Liliales","CN","ZA",2012,0
"329","Aloe ferox","Liliaceae","Liliales","CN","ZA",2013,0
"330","Aloe ferox","Liliaceae","Liliales","CN","ZA",2014,0
"331","Aloe ferox","Liliaceae","Liliales","CN","ZA",2015,0
"332","Aloe ferox","Liliaceae","Liliales","CN","ZA",2016,0
"333","Aloe ferox","Liliaceae","Liliales","CN","ZA",2017,0
"334","Aloe ferox","Liliaceae","Liliales","CN","ZA",2018,0
"335","Aloe ferox","Liliaceae","Liliales","CN","ZA",2019,7933.92
"336","Aloe ferox","Liliaceae","Liliales","CN","ZA",2020,5886.4
"337","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2000,0
"338","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2001,0
"339","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2002,0
"340","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2003,0
"341","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2004,0
"342","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2005,0
"343","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2006,0
"344","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2007,0
"345","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2008,0
"346","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2009,0
"347","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2010,20
"348","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2011,300
"349","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2012,324.13
"350","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2013,0
"351","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2014,180
"352","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2015,0
"353","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2016,0
"354","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2017,0
"355","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2018,0
"356","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2019,0
"357","Aloe ferox","Liliaceae","Liliales","CZ","ZA",2020,0
"358","Aloe ferox","Liliaceae","Liliales","DE","ZA",2000,65418
"359","Aloe ferox","Liliaceae","Liliales","DE","ZA",2001,52992
"360","Aloe ferox","Liliaceae","Liliales","DE","ZA",2002,67792
"361","Aloe ferox","Liliaceae","Liliales","DE","ZA",2003,79866.5
"362","Aloe ferox","Liliaceae","Liliales","DE","ZA",2004,46583.9
"363","Aloe ferox","Liliaceae","Liliales","DE","ZA",2005,79165
"364","Aloe ferox","Liliaceae","Liliales","DE","ZA",2006,73748.67
"365","Aloe ferox","Liliaceae","Liliales","DE","ZA",2007,75839.6
"366","Aloe ferox","Liliaceae","Liliales","DE","ZA",2008,61159.4
"367","Aloe ferox","Liliaceae","Liliales","DE","ZA",2009,49327.5
"368","Aloe ferox","Liliaceae","Liliales","DE","ZA",2010,73889.06509
"369","Aloe ferox","Liliaceae","Liliales","DE","ZA",2011,20003.22
"370","Aloe ferox","Liliaceae","Liliales","DE","ZA",2012,35052.555
"371","Aloe ferox","Liliaceae","Liliales","DE","ZA",2013,46533.626
"372","Aloe ferox","Liliaceae","Liliales","DE","ZA",2014,44643.67
"373","Aloe ferox","Liliaceae","Liliales","DE","ZA",2015,51761.29
"374","Aloe ferox","Liliaceae","Liliales","DE","ZA",2016,56458.678
"375","Aloe ferox","Liliaceae","Liliales","DE","ZA",2017,44152.934
"376","Aloe ferox","Liliaceae","Liliales","DE","ZA",2018,63930.608
"377","Aloe ferox","Liliaceae","Liliales","DE","ZA",2019,82905.112
"378","Aloe ferox","Liliaceae","Liliales","DE","ZA",2020,82783.88
"379","Aloe ferox","Liliaceae","Liliales","ES","ZA",2000,0
"380","Aloe ferox","Liliaceae","Liliales","ES","ZA",2001,6000
"381","Aloe ferox","Liliaceae","Liliales","ES","ZA",2002,0
"382","Aloe ferox","Liliaceae","Liliales","ES","ZA",2003,0
"383","Aloe ferox","Liliaceae","Liliales","ES","ZA",2004,0
"384","Aloe ferox","Liliaceae","Liliales","ES","ZA",2005,0
"385","Aloe ferox","Liliaceae","Liliales","ES","ZA",2006,0
"386","Aloe ferox","Liliaceae","Liliales","ES","ZA",2007,0
"387","Aloe ferox","Liliaceae","Liliales","ES","ZA",2008,2000
