"","Taxon","Family","Order","Importer","Exporter","Year","n"
"157","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2016,0
"158","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2017,0
"159","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2018,0
"160","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2019,0
"161","Aerangis articulata","Orchidaceae","Orchidales","DE","MG",2020,0
"162","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2000,0
"163","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2001,0
"164","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2002,0
"165","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2003,4
"166","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2004,0
"167","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2005,0
"168","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2006,0
"169","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2007,0
"170","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2008,0
"171","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2009,0
"172","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2010,0
"173","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2011,0
"174","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2012,0
"175","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2013,0
"176","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2014,0
"177","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2015,0
"178","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2016,0
"179","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2017,0
"180","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2018,0
"181","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2019,0
"182","Aerangis articulata","Orchidaceae","Orchidales","US","MG",2020,0
"183","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2000,20
"184","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2001,0
"185","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2002,0
"186","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2003,0
"187","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2004,0
"188","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2005,10
"189","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2006,0
"190","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2007,0
"191","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2008,0
"192","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2009,0
"193","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2010,0
"194","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2011,0
"195","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2012,0
"196","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2013,0
"197","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2014,0
"198","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2015,0
"199","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2016,0
"200","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2017,0
"201","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2018,0
"202","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2019,0
"203","Aerangis citrata","Orchidaceae","Orchidales","JP","MG",2020,0
"204","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2000,11
"205","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2001,0
"206","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2002,0
"207","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2003,13
"208","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2004,0
"209","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2005,0
"210","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2006,0
"211","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2007,0
"212","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2008,0
"213","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2009,0
"214","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2010,0
"215","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2011,0
"216","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2012,0
"217","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2013,0
"218","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2014,0
"219","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2015,2
"220","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2016,0
"221","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2017,1
"222","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2018,0
"223","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2019,0
"224","Aerangis citrata","Orchidaceae","Orchidales","US","MG",2020,0
"225","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2000,0
"226","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2001,0
"227","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2002,0
"228","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2003,0
"229","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2004,0
"230","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2005,50
"231","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2006,0
"232","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2007,20
"233","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2008,0
"234","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2009,0
"235","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2010,0
"236","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2011,0
"237","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2012,0
"238","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2013,10
"239","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2014,0
"240","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2015,0
"241","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2016,0
"242","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2017,0
"243","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2018,0
"244","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2019,0
"245","Aerangis cryptodon","Orchidaceae","Orchidales","DE","MG",2020,0
"246","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2000,0
"247","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2001,0
"248","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2002,0
"249","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2003,0
"250","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2004,0
"251","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2005,0
"252","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2006,0
"253","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2007,3
"254","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2008,0
"255","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2009,0
"256","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2010,0
"257","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2011,0
"258","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2012,0
"259","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2013,0
"260","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2014,0
"261","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2015,0
"262","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2016,0
"263","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2017,0
"264","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2018,0
"265","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2019,0
"266","Aerangis cryptodon","Orchidaceae","Orchidales","JP","MG",2020,0
"267","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2000,8
"268","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2001,0
"269","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2002,0
"270","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2003,13
"271","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2004,0
"272","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2005,0
"273","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2006,0
"274","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2007,0
"275","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2008,0
"276","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2009,0
"277","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2010,0
"278","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2011,0
"279","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2012,0
"280","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2013,0
"281","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2014,0
"282","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2015,0
"283","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2016,0
"284","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2017,0
"285","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2018,0
"286","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2019,0
"287","Aerangis cryptodon","Orchidaceae","Orchidales","US","MG",2020,0
"288","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2000,0
"289","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2001,0
"290","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2002,0
"291","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2003,0
"292","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2004,0
"293","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2005,0
"294","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2006,2
"295","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2007,0
"296","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2008,0
"297","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2009,0
"298","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2010,0
"299","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2011,0
"300","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2012,0
"301","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2013,0
"302","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2014,0
"303","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2015,0
"304","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2016,0
"305","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2017,0
"306","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2018,0
"307","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2019,0
"308","Aerangis curnowiana","Orchidaceae","Orchidales","DE","MG",2020,0
"309","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2000,40
"310","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2001,0
"311","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2002,0
"312","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2003,20
"313","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2004,0
"314","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2005,0
"315","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2006,0
"316","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2007,20
"317","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2008,0
"318","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2009,20
"319","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2010,0
"320","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2011,0
"321","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2012,0
"322","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2013,0
"323","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2014,0
"324","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2015,0
"325","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2016,0
"326","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2017,0
"327","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2018,0
"328","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2019,0
"329","Aerangis curnowiana","Orchidaceae","Orchidales","JP","MG",2020,0
"330","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2000,12
"331","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2001,0
"332","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2002,0
"333","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2003,12
"334","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2004,0
"335","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2005,0
"336","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2006,0
"337","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2007,0
"338","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2008,0
"339","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2009,0
"340","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2010,0
"341","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2011,0
"342","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2012,0
"343","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2013,0
"344","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2014,0
"345","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2015,15
"346","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2016,2
"347","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2017,0
"348","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2018,0
"349","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2019,0
"350","Aerangis curnowiana","Orchidaceae","Orchidales","US","MG",2020,0
"351","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2000,0
"352","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2001,0
"353","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2002,0
"354","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2003,0
"355","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2004,0
"356","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2005,0
"357","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2006,2
"358","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2007,0
"359","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2008,0
"360","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2009,0
"361","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2010,0
"362","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2011,0
"363","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2012,0
"364","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2013,0
"365","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2014,0
"366","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2015,0
"367","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2016,0
"368","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2017,0
"369","Aerangis decaryana","Orchidaceae","Orchidales","DE","MG",2018,0
